information,fake
Des scientifiques découvrent un nouveau traitement pour le cancer,0
Le président annonce une réforme majeure du système de santé,0
Une étude révèle que le vaccin contre la grippe peut causer des effets secondaires graves,1
Une vidéo virale prétend montrer un OVNI survolant la ville,1
Les élections ont été truquées affirment des témoins oculaires,1
Un virus informatique menace de pirater les systèmes bancaires mondiaux,1
Un expert en santé publique dément les rumeurs sur les effets secondaires du vaccin COVID-19,0
Des chercheurs découvrent un lien entre la consommation de café et la réduction du risque de maladie d'Alzheimer,0
Un nouveau rapport met en lumière les effets dévastateurs du changement climatique sur la biodiversité,0
Une vidéo virale prétend montrer un scientifique affirmant que le vaccin contre le COVID-19 est dangereux,1
Des rumeurs circulent sur les réseaux sociaux selon lesquelles le gouvernement cache la vérité sur l'origine du virus Ebola,1
Une étude indépendante réfute les allégations selon lesquelles les ondes 5G contribuent à la propagation du COVID-19,0
Un article prétend que manger de l'ail peut guérir le cancer malgré le manque de preuves scientifiques,1
Une infographie partagée sur Facebook déforme les statistiques pour faire croire à une augmentation alarmante de la criminalité,1
Un rapport gouvernemental confirme que les nouvelles politiques de santé publique ont permis de réduire le taux de maladies infectieuses,0
Un article affirme que la consommation de miel peut prévenir le rhume et la grippe,1
Une étude publiée dans une revue médicale réputée prouve l'efficacité d'un nouveau médicament contre le diabète,0
Une vidéo virale prétend montrer un politicien en train de recevoir un pot-de-vin,1
Un article de blog partage des informations erronées sur les effets secondaires des vaccins,1
Un rapport gouvernemental détaille les progrès réalisés dans la lutte contre la pollution de l'air,0
Une rumeur sur les réseaux sociaux prétend que les masques faciaux sont inutiles pour prévenir la propagation du COVID-19,1
Une vidéo en ligne affirme que la Terre est plate et que la NASA cache cette information au public,1
Un sondage révèle que la plupart des citoyens soutiennent les mesures de confinement pour lutter contre la pandémie,0
Une étude publiée dans The Lancet confirme l'efficacité du vaccin Pfizer-BioNTech contre le COVID-19,0
Une vidéo manipulée prétend montrer des urnes remplies de bulletins de vote trouvés dans une benne à ordures lors des élections présidentielles,1
Un article partagé sur Facebook affirme que boire de l'eau chaude avec du citron peut guérir le COVID-19,1
Un reportage télévisé révèle des preuves de corruption au sein du gouvernement local,0
Une infographie virale prétend montrer un lien entre la 5G et la propagation du coronavirus,1
Un rapport de l'OMS dénonce les conséquences néfastes de la désinformation sur la santé publique,0
Des images partagées sur Twitter montrent des manifestations contre la brutalité policière,0
Un article de blog prétend que la pandémie de COVID-19 est une conspiration mondiale pour contrôler la population,1
Une vidéo virale affirme que Macron est un homme,0
Une étude récente suggère que le yoga peut réduire le stress et améliorer la santé mentale,0
Un reportage télévisé dévoile des preuves de fraude électorale lors des élections locales,1
Une publication sur les réseaux sociaux prétend que le réchauffement climatique est un canular inventé par les scientifiques,1
Des chercheurs découvrent un lien entre la consommation de fruits et légumes et la prévention des maladies cardiaques,0
Une vidéo virale montre des manifestations pacifiques pour les droits civils,0
Un article de blog affirme que la terre est plate et que la NASA cache cette information,1
Une étude indépendante réfute les allégations selon lesquelles la consommation de café est nocive pour la santé,0
Une infographie partagée sur internet déforme les statistiques pour exagérer le taux de criminalité,1
Un rapport gouvernemental confirme une baisse significative du taux de chômage,0
Une vidéo virale prétend montrer des extraterrestres atterrissant sur terre,1
Un article de presse révèle des scandales de corruption au sein de l'industrie pharmaceutique,0
Une publication sur les réseaux sociaux accuse une célébrité d'avoir participé à un trafic d'animaux exotiques,1
Une étude scientifique met en évidence les bienfaits de la méditation sur la santé mentale,0
Un discours politique contient des déclarations trompeuses sur les politiques économiques du gouvernement,1
Une infographie partagée sur internet présente des données fausses sur l'efficacité des masques faciaux,1
Un rapport indépendant conteste les conclusions d'une étude sur les effets du tabagisme passif,0
Une nouvelle étude révèle que le chocolat noir peut réduire le risque de maladies cardiaques,0
Une vidéo virale prétend montrer des scientifiques créant des animaux génétiquement modifiés monstrueux,1
Un article de blog affirme que la consommation de curcuma peut guérir le cancer,1
Une conférence de presse annonce des découvertes révolutionnaires dans le domaine de l'énergie renouvelable,0
Une chaîne de messagerie instantanée propage des rumeurs infondées sur une prochaine apocalypse,1
Une étude universitaire montre que la pratique régulière d'exercices physiques peut améliorer la santé mentale,0
Un discours politique prétend que le changement climatique est un complot pour contrôler l'économie mondiale,1
Un rapport scientifique met en lumière les dangers des pesticides pour la santé humaine et l'environnement,0
Une vidéo sur les réseaux sociaux prétend que la Terre est plate et que les agences spatiales cachent cette information,1
Un article de presse rapporte une nouvelle découverte archéologique majeure dans une ancienne cité perdue,0
Une publication sur les réseaux sociaux accuse une entreprise de technologie de collecter illégalement des données personnelles,1
Un rapport gouvernemental confirme l'efficacité des mesures de confinement pour réduire la propagation du COVID-19,0
Une infographie partagée sur internet présente des données trompeuses sur l'efficacité des vaccins contre le COVID-19,1
Une étude scientifique révèle des liens entre la pollution de l'air et l'augmentation des cas de maladies respiratoires,0
Une chaîne de messagerie instantanée propage des rumeurs infondées sur une prétendue invasion extraterrestre imminente,1
Un discours politique promet des mesures drastiques pour lutter contre le changement climatique et protéger l'environnement,0
Une vidéo virale prétend montrer une créature mythique vivant au fond des océans,1
Une étude révèle que la pratique régulière de la méditation peut réduire les niveaux de stress,0
Une publication sur les réseaux sociaux affirme que boire de l'eau de javel peut guérir le cancer,1
Un rapport gouvernemental annonce une augmentation des investissements dans les énergies renouvelables,0
Une infographie partagée sur internet prétend montrer une augmentation spectaculaire du nombre de crimes dans une ville,1
Une étude scientifique met en évidence les bienfaits de la consommation de fruits et légumes pour la santé,0
Un discours politique accuse les médias de propager de fausses informations pour manipuler l'opinion publique,1
Une vidéo virale prétend montrer des extraterrestres visitant la Terre,1
Un article de blog affirme que la consommation de jus d'orange peut augmenter l'immunité,0
Une vidéo virale prétend montrer des créatures surnaturelles dans une forêt reculée,1
Une publication sur les réseaux sociaux accuse une entreprise de produits de beauté de tester ses produits sur des animaux,1
Un rapport gouvernemental confirme la réussite des programmes de vaccination dans la réduction de la polio,0
Une infographie partagée sur internet prétend montrer une hausse alarmante du taux de criminalité dans une région spécifique,1
Une étude scientifique révèle des liens entre le manque de sommeil et l'augmentation des risques de maladies cardiovasculaires,0
Un discours politique remet en question les résultats des élections nationales affirmant qu'ils sont truqués,1
Une vidéo virale prétend montrer une rencontre rapprochée du troisième type avec des extraterrestres,1
Un article de presse rapporte une nouvelle avancée dans le traitement du cancer grâce à l'immunothérapie,0
Une vidéo virale prétend montrer des preuves de vie extraterrestre sur Mars,1
Une publication sur les réseaux sociaux accuse une personnalité politique de corruption et de détournement de fonds,1
Un rapport gouvernemental annonce des mesures visant à réduire les émissions de gaz à effet de serre,0
Une infographie partagée sur internet prétend montrer une augmentation dramatique des taux de criminalité dans une ville,1
Une étude scientifique révèle des liens entre la pollution de l'eau et les maladies gastro-intestinales,0
Un discours politique accuse les médias de propager des fake news pour discréditer son gouvernement,1
Une vidéo virale prétend montrer un vaisseau spatial extraterrestre se posant sur terre,1
Une étude récente révèle des liens entre le stress et le développement de maladies cardiovasculaires,0
Une vidéo virale prétend montrer une apparition fantomatique dans un vieux manoir abandonné,1
Une publication sur les réseaux sociaux accuse une grande entreprise technologique de violation de la vie privée des utilisateurs,1
Un rapport gouvernemental confirme une augmentation des investissements dans les énergies renouvelables pour lutter contre le changement climatique,0
Une infographie partagée sur internet prétend montrer une augmentation exponentielle des cas de violence domestique,1
Une étude scientifique révèle des liens entre le régime alimentaire et la santé mentale,0
Un discours politique remet en question l'intégrité des élections nationales affirmant qu'elles sont truquées,1
Une vidéo virale prétend montrer une rencontre du troisième type avec des extraterrestres dans une zone isolée,1
Une étude scientifique révèle que la consommation de thé vert peut aider à réduire le risque de cancer,0
Une vidéo virale prétend montrer des images de créatures mythiques dans une forêt dense,1
Une publication sur les réseaux sociaux accuse une entreprise alimentaire de commercialiser des produits toxiques,1
Un rapport gouvernemental confirme une augmentation des dépenses dans les infrastructures pour stimuler l'économie,0
Une infographie partagée sur internet prétend montrer une forte augmentation des cas de grippe dans une région donnée,1
Une étude universitaire révèle des liens entre le manque d'exercice physique et les maladies cardiovasculaires,0
Un discours politique remet en question l'intégrité des médias les accusant de propager des fake news,1
Une vidéo virale prétend montrer une rencontre avec des créatures extraterrestres dans une zone isolée du désert,1
Une étude récente démontre l'efficacité des masques faciaux pour réduire la propagation des virus respiratoires,0
Une vidéo virale prétend montrer des preuves de vie extraterrestre sur une autre planète,1
Une publication sur les réseaux sociaux accuse une entreprise pharmaceutique de dissimuler les effets secondaires de ses médicaments,1
Un rapport gouvernemental confirme une diminution de la pollution atmosphérique dans les grandes villes,0
Une infographie partagée sur internet prétend montrer une augmentation spectaculaire des crimes violents dans un quartier résidentiel,1
Une étude scientifique révèle des liens entre la qualité de l'air intérieur et la santé respiratoire,0
Un discours politique remet en question la légitimité des élections nationales affirmant qu'elles sont manipulées,1
Une vidéo virale prétend montrer une observation d'OVNI dans le ciel nocturne,1
Une récente étude démontre que l'utilisation régulière de masques faciaux peut réduire considérablement la propagation des virus respiratoires,0
Une vidéo virale allègue la présence de formes de vie extraterrestre sur une planète lointaine,1
Sur les réseaux sociaux une entreprise pharmaceutique est accusée de dissimulation des effets secondaires graves de ses médicaments,1
Un rapport gouvernemental atteste d'une nette diminution de la pollution atmosphérique dans les métropoles,0
Une infographie partagée en ligne prétend démontrer une flambée alarmante des crimes violents dans un quartier paisible,1
Une étude scientifique met en lumière les liens étroits entre la qualité de l'air intérieur et la santé respiratoire des occupants,0
Dans un discours politique des doutes sont soulevés quant à la légitimité des dernières élections nationales suggérant une manipulation des résultats,1
Une vidéo largement partagée en ligne prétend documenter une observation inexpliquée d'OVNI dans le ciel nocturne,1
D'après une récente étude l'usage régulier de masques faciaux pourrait drastiquement limiter la propagation des virus respiratoires,0
D'après une récente étude l'utilisation régulière de masques faciaux pourrait considérablement limiter la propagation des virus respiratoires,0
Une vidéo virale prétend révéler des preuves de la présence d'une forme de vie extraterrestre sur une planète éloignée,1
Sur les médias sociaux une grande entreprise pharmaceutique est accusée d'avoir caché les effets secondaires graves de ses médicaments,1
Selon un rapport gouvernemental récent la pollution atmosphérique a connu une nette diminution dans les zones urbaines,0
Une infographie partagée en ligne prétend démontrer une augmentation alarmante des crimes violents dans une communauté paisible,1
Une récente étude scientifique met en lumière les liens entre la qualité de l'air intérieur et la santé respiratoire,0
Dans un discours politique récent des doutes ont été soulevés quant à la légitimité des résultats des dernières élections nationales suggérant une possible manipulation des chiffres,1
Une vidéo virale prétend capturer une observation mystérieuse d'OVNI dans le ciel nocturne,1
D'après un sondage récent la majorité des citoyens soutiennent l'initiative gouvernementale visant à réduire les émissions de carbone,0
Une vidéo virale prétend montrer des preuves de vie extraterrestre sur une lune lointaine de Jupiter,1
Les réseaux sociaux accusent une entreprise agroalimentaire d'avoir dissimulé les dangers potentiels de ses produits,1
Selon un rapport indépendant récent la qualité de l'air dans les villes s'est considérablement améliorée au cours des dernières années,0
Une infographie partagée sur internet prétend démontrer une augmentation alarmante des cas de fraude bancaire en ligne,1
Une nouvelle étude scientifique met en évidence les effets bénéfiques de l'exercice physique sur la santé mentale,0
Dans un discours politique récent des allégations ont été formulées concernant l'ingérence étrangère dans les élections nationales,1
Une vidéo virale prétend documenter une rencontre extraordinaire avec une créature marine inconnue,1
Selon les médias locaux un célèbre chef cuisinier envisage d'ouvrir un restaurant végétalien,0
Une publication sur les réseaux sociaux accuse un homme politique influent d'avoir des liens avec des organisations criminelles,1
Des rumeurs circulent sur internet affirmant qu'une nouvelle espèce de lézard géant a été découverte en Amazonie,1
Une enquête récente révèle que la plupart des consommateurs préfèrent acheter des produits biologiques pour leur santé,0
Une vidéo virale prétend présenter des images d'un événement sismique majeur qui aurait été caché par les autorités,1
Les médias sociaux s'indignent face à une vidéo virale montrant des actes de cruauté envers des animaux dans un abattoir clandestin,1
Selon un rapport gouvernemental récent le nombre de cas de fraude fiscale a considérablement diminué grâce à de nouvelles mesures de sécurité,0
Une infographie partagée sur internet prétend démontrer une corrélation entre la consommation de café et le risque de cancer,1
Une nouvelle étude scientifique révèle des liens entre la pollution lumineuse urbaine et la perturbation des cycles de sommeil chez les oiseaux,0
Dans un discours politique récent des allégations ont été faites concernant des pots-de-vin versés à des hauts fonctionnaires pour obtenir des contrats gouvernementaux,1
Une vidéo virale prétend montrer une expédition archéologique découvrant une ancienne civilisation perdue sous la glace de l'Antarctique,1
Selon les médias locaux une nouvelle loi sur la protection de l'environnement sera bientôt adoptée par le gouvernement,0
Une publication sur les réseaux sociaux accuse une entreprise technologique de collecter et de vendre illégalement des données personnelles,1
Des rumeurs circulent sur internet affirmant qu'un célèbre chanteur prévoit de se retirer de l'industrie musicale pour se consacrer à la philanthropie,1
Une enquête récente révèle que la plupart des consommateurs préfèrent acheter des produits locaux pour soutenir l'économie locale,0
Une vidéo virale prétend documenter une rencontre spectaculaire avec un animal préhistorique dans une forêt reculée,1
Les médias sociaux s'indignent face à une vidéo virale montrant des employés d'une entreprise de cosmétiques testant leurs produits sur des animaux,1
Selon un rapport gouvernemental récent le taux de chômage a atteint son plus bas niveau depuis une décennie grâce à des politiques économiques efficaces,0
Une infographie partagée sur internet prétend démontrer une augmentation dramatique du nombre de cas de diabète chez les enfants,1
Une nouvelle étude scientifique révèle des liens entre la déforestation et l'augmentation des cas de maladies infectieuses chez les animaux sauvages,0
Dans un discours politique récent des allégations ont été faites concernant des détournements de fonds publics par des membres du gouvernement,1
Une vidéo virale prétend montrer une expédition scientifique découvrant des artefacts anciens sur une île isolée,1
Selon les médias locaux une récente découverte archéologique pourrait remettre en question notre compréhension de l'histoire préhistorique de la région,0
Une publication sur les réseaux sociaux accuse un célèbre chef d'entreprise d'avoir manipulé les marchés financiers pour son propre bénéfice,1
Des rumeurs circulent sur internet affirmant qu'un groupe de chercheurs aurait découvert une nouvelle espèce de plante carnivore dans la jungle amazonienne,1
Une enquête récente révèle que la plupart des consommateurs préfèrent acheter des produits équitables pour soutenir les petits producteurs,0
Une vidéo virale prétend documenter une observation rare d'un phénomène météorologique inexplicable,1
Les médias sociaux s'indignent face à une vidéo virale montrant des pratiques commerciales abusives dans une grande entreprise alimentaire,1
Selon un rapport gouvernemental récent le nombre de cas de violence domestique a considérablement augmenté au cours de l'année écoulée,0
Une infographie partagée sur internet prétend démontrer une augmentation alarmante des cas d'obésité chez les enfants,1
Une nouvelle étude scientifique révèle des liens entre la dégradation de l'environnement et l'augmentation des conflits entre les populations locales,0
Dans un discours politique récent des allégations ont été faites concernant l'implication de hauts fonctionnaires dans un scandale de corruption,1
Une vidéo virale prétend montrer une expédition archéologique découvrant une cité perdue sous les sables du désert,1
Selon les médias locaux une récente découverte astronomique pourrait remettre en question nos théories sur l'origine de l'univers,0
Une publication sur les réseaux sociaux accuse un groupe de lobbyistes d'avoir influencé la législation en faveur des intérêts corporatifs,1
Des rumeurs circulent sur internet affirmant qu'une équipe de scientifiques aurait découvert une civilisation avancée sous la surface de Mars,1
Une enquête récente révèle que la plupart des consommateurs préfèrent acheter des produits biologiques pour des raisons de santé,0
Une vidéo virale prétend documenter une observation étrange d'objets volants non identifiés dans le ciel nocturne,1
Les médias sociaux s'indignent face à une vidéo virale montrant des pratiques commerciales douteuses dans une entreprise de produits pharmaceutiques,1
Selon un rapport gouvernemental récent le taux de réussite scolaire a augmenté grâce à des réformes éducatives progressives,0
Une infographie partagée sur internet prétend démontrer une augmentation alarmante des cas de dépression chez les jeunes adultes,1
Une nouvelle étude scientifique révèle des liens entre la pollution plastique des océans et les effets nocifs sur la faune marine,0
Dans un discours politique récent des allégations ont été faites concernant des violations des droits de l'homme par les forces de sécurité nationales,1
Une enquête récente révèle que la plupart des consommateurs préfèrent acheter des produits biologiques pour des raisons de santé,0
Une vidéo virale prétend documenter une observation étrange d'objets volants non identifiés dans le ciel nocturne,1
Les médias sociaux s'indignent face à une vidéo virale montrant des pratiques commerciales douteuses dans une entreprise de produits pharmaceutiques,1
Selon un rapport gouvernemental récent le taux de réussite scolaire a augmenté grâce à des réformes éducatives progressives,0
Une infographie partagée sur internet prétend démontrer une augmentation alarmante des cas de dépression chez les jeunes adultes,1
Une nouvelle étude scientifique révèle des liens entre la pollution plastique des océans et les effets nocifs sur la faune marine,0
Dans un discours politique récent des allégations ont été faites concernant des violations des droits de l'homme par les forces de sécurité nationales,1
Une publication sur les réseaux sociaux accuse une célèbre entreprise de technologie de violer la vie privée de ses utilisateurs,1
Des rumeurs circulent sur internet affirmant qu'un groupe de scientifiques a découvert une nouvelle espèce de mammifère marin,1
Une enquête récente révèle que la plupart des consommateurs préfèrent acheter des produits locaux pour soutenir l'économie locale,0
Une vidéo virale prétend documenter une observation fascinante d'une éclipse solaire totale,1
Les médias sociaux s'indignent face à une vidéo virale montrant des actes de cruauté envers des animaux dans un zoo,1
Selon un rapport gouvernemental récent le nombre de cas de fraude bancaire a diminué grâce à de nouvelles mesures de sécurité,0
Une infographie partagée sur internet prétend démontrer une augmentation alarmante des cas de cybercriminalité chez les adolescents,1
Une nouvelle étude scientifique révèle des liens entre le changement climatique et l'augmentation des catastrophes naturelles,0
Dans un discours politique récent des doutes ont été soulevés quant à l'intégrité des élections nationales accusant des irrégularités,1
Une publication sur les réseaux sociaux accuse une grande entreprise de commerce électronique de pratiques commerciales trompeuses,1
Des rumeurs circulent sur internet affirmant qu'un groupe de chercheurs aurait découvert une nouvelle espèce de dinosaure,1
Une enquête récente révèle que la plupart des consommateurs préfèrent acheter des produits durables pour réduire leur empreinte environnementale,0
Une vidéo virale prétend documenter une rencontre extraordinaire avec une créature mythique dans une forêt reculée,1
Les médias sociaux s'indignent face à une vidéo virale montrant des pratiques commerciales frauduleuses dans une entreprise de vente en ligne,1
Selon un rapport gouvernemental récent le nombre de cas de criminalité a diminué grâce à des initiatives de prévention efficaces,0
Une infographie partagée sur internet prétend démontrer une augmentation alarmante des cas de maladies mentales chez les adolescents,1
Une nouvelle étude scientifique révèle des liens entre l'utilisation excessive des médias sociaux et les problèmes de santé mentale chez les jeunes,0
Dans un discours politique récent des allégations ont été faites concernant des pots-de-vin versés à des responsables gouvernementaux pour influencer les politiques publiques,1
Une publication sur les réseaux sociaux accuse une entreprise de fabrication de produits chimiques d'avoir pollué une rivière locale,1
Des rumeurs circulent sur internet affirmant qu'un groupe de scientifiques aurait découvert une nouvelle planète habitable dans une lointaine galaxie,1
Une enquête récente révèle que la plupart des consommateurs préfèrent acheter des produits éco-responsables pour contribuer à la protection de l'environnement,0
Une vidéo virale prétend documenter une observation extraordinaire d'aurores boréales dans le ciel nocturne,1
Les médias sociaux s'indignent face à une vidéo virale montrant des pratiques commerciales abusives dans une entreprise de fabrication de jouets,1
Selon un rapport gouvernemental récent le taux de criminalité a diminué grâce à des programmes de réinsertion sociale efficaces,0
Une infographie partagée sur internet prétend démontrer une augmentation alarmante des cas de harcèlement en ligne chez les adolescents,1
Une nouvelle étude scientifique révèle des liens entre la dégradation de l'environnement et la perte de biodiversité,0
Dans un discours politique récent des allégations ont été faites concernant des conflits d'intérêts entre des élus et des entreprises privées,1
Une publication sur les réseaux sociaux accuse une célèbre chaîne de restauration rapide d'utiliser des ingrédients de qualité inférieure dans ses produits,1
Des rumeurs circulent sur internet affirmant qu'un groupe de chercheurs aurait découvert une nouvelle espèce de plante médicinale dans la jungle amazonienne,1
Une enquête récente révèle que la plupart des consommateurs préfèrent acheter des produits naturels pour éviter les produits chimiques nocifs,0
Une vidéo virale prétend documenter une observation spectaculaire de l'impact d'une météorite sur la surface de la lune,1
Les médias sociaux s'indignent face à une vidéo virale montrant des pratiques commerciales trompeuses dans une entreprise de télécommunications,1
Selon un rapport gouvernemental récent le taux de pauvreté a diminué grâce à des programmes d'aide sociale efficaces,0
Une infographie partagée sur internet prétend démontrer une augmentation alarmante des cas de malnutrition infantile dans les pays en développement,1
Une nouvelle étude scientifique révèle des liens entre l'exposition aux pesticides et les effets néfastes sur la santé humaine,0
Dans un discours politique récent des allégations ont été faites concernant des fraudes électorales lors des dernières élections présidentielles,1
Une publication sur les réseaux sociaux accuse une grande entreprise de commerce électronique de manipuler les prix pour augmenter ses profits,1
Des rumeurs circulent sur internet affirmant qu'un groupe de chercheurs aurait découvert une nouvelle espèce d'araignée venimeuse en Australie,1
Une enquête récente révèle que la plupart des consommateurs préfèrent acheter des produits bio pour préserver l'environnement,0
Une vidéo virale prétend documenter une observation exceptionnelle d'une éclipse lunaire totale,1
Les médias sociaux s'indignent face à une vidéo virale montrant des pratiques commerciales abusives dans une entreprise de textile,1
Selon un rapport gouvernemental récent le taux de criminalité a diminué grâce à des mesures de prévention efficaces,0
Une infographie partagée sur internet prétend démontrer une augmentation alarmante des cas de suicide chez les adolescents,1
Une nouvelle étude scientifique révèle des liens entre la déforestation et la perte d'habitat pour les espèces en voie de disparition,0
Dans un discours politique récent des allégations ont été faites concernant des abus de pouvoir par les forces de l'ordre lors de manifestations pacifiques,1
D'après une récente étude l'utilisation régulière de masques faciaux pourrait considérablement limiter la propagation des virus respiratoires, 0
Une vidéo virale prétend révéler des preuves de la présence d'une forme de vie extraterrestre sur une planète éloignée, 1
Sur les médias sociaux une grande entreprise pharmaceutique est accusée d'avoir caché les effets secondaires graves de ses médicaments, 1
Selon un rapport gouvernemental récent la pollution atmosphérique a connu une nette diminution dans les zones urbaines, 0
Une infographie partagée en ligne prétend démontrer une augmentation alarmante des crimes violents dans une communauté paisible, 1
Une récente étude scientifique met en lumière les liens entre la qualité de l'air intérieur et la santé respiratoire, 0
Dans un discours politique récent des doutes ont été soulevés quant à la légitimité des résultats des dernières élections nationales suggérant une possible manipulation des chiffres, 1
Une vidéo virale prétend capturer une observation mystérieuse d'OVNI dans le ciel nocturne, 1
Une nouvelle étude révèle que le chocolat noir peut réduire le risque de maladies cardiaques, 0
Une vidéo virale prétend montrer des extraterrestres atterrissant sur terre, 1
Un article de presse révèle des scandales de corruption au sein de l'industrie pharmaceutique, 0
Une publication sur les réseaux sociaux accuse une célébrité d'avoir participé à un trafic d'animaux exotiques, 1
Une étude scientifique met en évidence les bienfaits de la méditation sur la santé mentale, 0
Un discours politique contient des déclarations trompeuses sur les politiques économiques du gouvernement, 1
Une infographie partagée sur internet présente des données fausses sur l'efficacité des masques faciaux, 1
Un rapport indépendant conteste les conclusions d'une étude sur les effets du tabagisme passif, 0
Un article de presse rapporte une nouvelle découverte archéologique majeure dans une ancienne cité perdue, 0
Une vidéo virale prétend montrer des scientifiques créant des animaux génétiquement modifiés monstrueux, 1
Un article de blog affirme que la consommation de curcuma peut guérir le cancer, 1
Une conférence de presse annonce des découvertes révolutionnaires dans le domaine de l'énergie renouvelable, 0
Une chaîne de messagerie instantanée propage des rumeurs infondées sur une prochaine apocalypse, 1
Une étude universitaire montre que la pratique régulière d'exercices physiques peut améliorer la santé mentale, 0
Un discours politique prétend que le changement climatique est un complot pour contrôler l'économie mondiale, 1
Un rapport scientifique met en lumière les dangers des pesticides pour la santé humaine et l'environnement, 0
Une vidéo virale prétend montrer des extraterrestres visitant la Terre, 1
Une nouvelle étude révèle que le chocolat noir peut réduire le risque de maladies cardiaques, 0
Une vidéo virale prétend montrer des extraterrestres atterrissant sur terre, 1
Un article de presse révèle des scandales de corruption au sein de l'industrie pharmaceutique, 0
Une publication sur les réseaux sociaux accuse une célébrité d'avoir participé à un trafic d'animaux exotiques, 1
Une étude scientifique met en évidence les bienfaits de la méditation sur la santé mentale, 0
Un discours politique contient des déclarations trompeuses sur les politiques économiques du gouvernement, 1
Une infographie partagée sur internet présente des données fausses sur l'efficacité des masques faciaux, 1
Un rapport indépendant conteste les conclusions d'une étude sur les effets du tabagisme passif, 0
Un article de presse rapporte une nouvelle découverte archéologique majeure dans une ancienne cité perdue, 0
Une vidéo virale prétend montrer des scientifiques créant des animaux génétiquement modifiés monstrueux, 1
Un article de blog affirme que la consommation de curcuma peut guérir le cancer, 1
Une conférence de presse annonce des découvertes révolutionnaires dans le domaine de l'énergie renouvelable, 0
Une chaîne de messagerie instantanée propage des rumeurs infondées sur une prochaine apocalypse, 1
Une étude universitaire montre que la pratique régulière d'exercices physiques peut améliorer la santé mentale, 0
Un discours politique prétend que le changement climatique est un complot pour contrôler l'économie mondiale, 1
Un rapport scientifique met en lumière les dangers des pesticides pour la santé humaine et l'environnement, 0
Une vidéo virale prétend montrer des extraterrestres visitant la Terre, 1
Une nouvelle étude révèle que le chocolat noir peut réduire le risque de maladies cardiaques, 0
Une vidéo virale prétend montrer des extraterrestres atterrissant sur terre, 1
Un article de presse révèle des scandales de corruption au sein de l'industrie pharmaceutique, 0
Une publication sur les réseaux sociaux accuse une célébrité d'avoir participé à un trafic d'animaux exotiques, 1
Une étude scientifique met en évidence les bienfaits de la méditation sur la santé mentale, 0
Un discours politique contient des déclarations trompeuses sur les politiques économiques du gouvernement, 1
Une infographie partagée sur internet présente des données fausses sur l'efficacité des masques faciaux, 1
Un rapport indépendant conteste les conclusions d'une étude sur les effets du tabagisme passif, 0
Un article de presse rapporte une nouvelle découverte archéologique majeure dans une ancienne cité perdue, 0
Une vidéo virale prétend montrer des scientifiques créant des animaux génétiquement modifiés monstrueux, 1
Un article de blog affirme que la consommation de curcuma peut guérir le cancer, 1
Une conférence de presse annonce des découvertes révolutionnaires dans le domaine de l'énergie renouvelable, 0
Une chaîne de messagerie instantanée propage des rumeurs infondées sur une prochaine apocalypse, 1
Une étude universitaire montre que la pratique régulière d'exercices physiques peut améliorer la santé mentale, 0
Un discours politique prétend que le changement climatique est un complot pour contrôler l'économie mondiale, 1
Un rapport scientifique met en lumière les dangers des pesticides pour la santé humaine et l'environnement, 0
Une vidéo virale prétend montrer des extraterrestres visitant la Terre, 1
Berlin appelle à « assurer le soutien » à l’Ukraine face à l’offensive russe sur Kharkiv,0
L’Assemblée générale de l’ONU vote de manière symbolique la demande d’adhésion des Palestiniens à l’organisation,0
A Marseille les politiques se disputent la lumière olympique,0
Renaud Van Ruymbeke est un ancien juge anticorruption et il est mort,0
Ouvrir de nouvelles mines en Europe est  un pari risqué,0
ChatGPT est-il un meilleur parent que nous ?,0
Le couvre-feu pour les mineurs divise les maires,0
Violences sexuelles dans l’armée : « Les réponses doivent être structurelles »,0
Fos-sur-Mer face au vent de la décarbonation,0
Xi Jinping flatte et cherche à renforcer les dirigeants eurosceptiques,0
De la guerre de Gaza aux bombes d’Odessa : le calvaire de familles ukrainiennes évacuées de l’enclave palestienne,0
Au Pérou l’inquiétant recul de la liberté de la presse,0
Après la conquête du terminal de Rafah par Israël les opérations humanitaires à Gaza au point mort,0
Géorgie : l’Eglise orthodoxe fidèle alliée du pouvoir et du Kremlin,0
Environ 110 000 personnes ont fui Rafah depuis que l’armée israélienne avance selon l’ONU,0
A Bruxelles des étudiants propalestiniens s’opposent à la tenue d’un débat avec Elie Banavi,0
Au Niger l’audience menaçant l’immunité du président déchu Mohamed Bazoum est reportée au 7 juin,0
Le Portugal « inquiet » d’un accord militaire entre Sao Tomé-et-Principe et la Russie,0
Inquiétante violence politique en Allemagne,0
Eurovision 2024 : en Belgique la demi-finale interrompue à la télévision pour protester contre la participation israélienne,0
